,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Trades*Price,Day_Perc_Change,Trend
201,FORTIS,EQ,2018-03-01,159.8,159.0,167.45,157.0,        159.60,161.05,161.92,40490589,6556266140.8,175443,9195297,22.71,2018,3,28255095.150000002,0.007822277847309156,Slight or No change
202,FORTIS,EQ,2018-03-05,161.05,158.45,167.0,152.1,        161.20,163.3,158.02,38792259,6129954699.9,144972,12226138,31.52,2018,3,23673927.6,0.013970816516609696,Slight or No change
203,FORTIS,EQ,2018-03-06,163.3,163.8,167.25,158.5,        159.75,161.35,164.09,30423475,4992121579.55,134746,7664534,25.19,2018,3,21741267.099999998,-0.011941212492345477,Slight or No change
204,FORTIS,EQ,2018-03-07,161.35,160.75,161.5,145.55,        147.65,147.55,152.6,36866132,5625844927.0,149384,11776721,31.94,2018,3,22041609.200000003,-0.08552835450883167,Slight or No change
205,FORTIS,EQ,2018-03-08,147.55,150.65,154.75,146.05,        148.10,148.15,149.96,20664624,3098883329.2,90535,4310779,20.86,2018,3,13412760.25,0.004066418163334529,Slight or No change
206,FORTIS,EQ,2018-03-09,148.15,151.25,151.25,144.0,        146.00,145.4,147.62,12833958,1894507857.0,82935,3326555,25.92,2018,3,12058749.0,-0.018562267971650392,Slight or No change
207,FORTIS,EQ,2018-03-12,145.4,148.0,150.25,146.05,        148.90,149.3,147.83,8539983,1262447466.85,41163,2054531,24.06,2018,3,6145635.9,0.026822558459422385,Slight or No change
208,FORTIS,EQ,2018-03-13,149.3,148.5,154.0,147.95,        152.20,152.55,152.35,10381464,1581586704.6,48337,3438679,33.12,2018,3,7373809.350000001,0.021768251841929098,Slight or No change
209,FORTIS,EQ,2018-03-14,152.55,155.5,161.0,155.5,        158.20,158.8,158.97,26897984,4276004617.6,117945,9367364,34.83,2018,3,18729666.0,0.04097017371353662,Slight or No change
210,FORTIS,EQ,2018-03-15,158.8,159.7,162.8,158.7,        160.20,160.25,160.46,13938064,2236435173.2,58043,5818563,41.75,2018,3,9301390.75,0.009130982367758111,Slight or No change
